,lat,lng,text
20,44.8125,20.4612,"
https://www.lesswrong.com/posts/jcCyii8NcZLZ2M223/ai-safety-hub-serbia-official-opening

Last updated:  06/2024"
30,51.5073359,-0.12765,"London Initiative for Safe AI (LISA)
https://www.safeai.org.uk/

Last updated:  06/2024"
59,52.5170365,13.3888599,"Teamwork
https://www.teamwork-berlin.org/

A handful of people do AI safety work from Teamwork.

Last updated:  06/2024"
