,lat,lng,text
1,42.6073975,25.4856617,"AI Safety Bulgaria
https://aisafetybulgaria.com/

Last updated:  06/2024"
2,55.670249,10.3333283,"Ai Safety Denmark
https://web.facebook.com/groups/AISafetyDanmark/members

Last updated:  06/2024"
8,47.4978789,19.0402383,"Ai Safety Hungary
https://aishungary.com

Last updated:  06/2024"
19,59.6749712,14.5208584,"AI Safety North
https://aisafetysweden.com/

Last updated:  06/2024"
29,63.2467777,25.9209164,"Finnish Center for Safe AI (Tutke)
https://www.tutke.org/en

Last updated: "
