,lat,lng,text
0,48.2083537,16.3725042,"Vienna AI Alignment Group (VAIA)
https://github.com/ViennaAI/info

Last updated:  06/2024"
7,48.1371079,11.5753822,"Munich AI Alignment
https://munich-ai-alignment.org/

Last updated:  06/2024"
15,52.3730796,4.8924534,"AI Safety Amsterdam
https://aisafetyamsterdam.com/

Last updated:  06/2024"
18,57.7072326,11.9670171,"AI Safety Gothenburg
https://www.aisafetygothenburg.org/home

Last updated:  06/2024"
20,47.3744489,8.5410422,"Zürich AI Alignment Group (ZAIA)
https://www.zurich-ai-alignment.com/

Last updated:  06/2024"
21,46.5218269,6.6327025,"Safe AI Lausanne
https://safe-ai-lausanne.notion.site/Safe-AI-Lausanne-09fe0108569b476b9044aa3d668128b4

Last updated:  06/2024"
27,57.7072326,11.985035118018018,"AI Safety Gothenburg
https://www.aisafetygothenburg.org/

Last updated:  06/2024"
28,48.8588897,2.3200410217200766,"Centre pour la Sécurité de l'IA (CeSIA)
https://www.securite-ia.fr/

CeSIA is a french non profit dedicated to education and reaserach on the challenges of Artificial Intelligence. It hosts weekly meetups in Paris, teaches ai safety at top french universities and international ai safety bootcamps. It is open to volunteers joining.

Last updated:  06/2024"
